dimensions,width,height
"(259, 194)",259,194
"(225, 225)",225,225
"(720, 968)",720,968
"(275, 183)",275,183
"(378, 300)",378,300
"(275, 183)",275,183
"(194, 259)",194,259
"(183, 275)",183,275
"(225, 225)",225,225
"(215, 234)",215,234
"(480, 360)",480,360
"(1600, 1281)",1600,1281
"(275, 183)",275,183
"(275, 183)",275,183
"(285, 177)",285,177
"(225, 225)",225,225
"(275, 183)",275,183
"(1000, 666)",1000,666
"(347, 280)",347,280
"(1000, 1500)",1000,1500
"(275, 183)",275,183
"(245, 206)",245,206
"(612, 408)",612,408
"(1600, 1155)",1600,1155
"(194, 260)",194,260
"(479, 640)",479,640
"(1000, 750)",1000,750
"(800, 800)",800,800
"(683, 1024)",683,1024
"(275, 183)",275,183
"(275, 183)",275,183
"(200, 266)",200,266
"(152, 330)",152,330
"(260, 194)",260,194
"(214, 235)",214,235
"(540, 360)",540,360
"(1000, 1080)",1000,1080
"(225, 225)",225,225
"(216, 233)",216,233
"(320, 394)",320,394
"(225, 225)",225,225
"(630, 360)",630,360
"(259, 194)",259,194
"(256, 197)",256,197
"(310, 163)",310,163
"(1024, 680)",1024,680
"(512, 512)",512,512
"(183, 275)",183,275
"(225, 225)",225,225
"(259, 194)",259,194
"(271, 186)",271,186
"(300, 168)",300,168
"(267, 188)",267,188
"(300, 168)",300,168
"(360, 479)",360,479
"(225, 225)",225,225
"(800, 450)",800,450
"(183, 275)",183,275
"(191, 264)",191,264
"(390, 280)",390,280
"(500, 460)",500,460
"(283, 178)",283,178
"(600, 600)",600,600
"(2555, 1795)",2555,1795
"(225, 225)",225,225
"(259, 194)",259,194
"(225, 225)",225,225
"(265, 190)",265,190
"(276, 182)",276,182
"(262, 192)",262,192
"(225, 225)",225,225
"(275, 183)",275,183
"(259, 194)",259,194
"(485, 679)",485,679
"(225, 225)",225,225
"(382, 132)",382,132
"(259, 194)",259,194
"(275, 183)",275,183
"(225, 225)",225,225
"(194, 259)",194,259
"(234, 215)",234,215
"(958, 331)",958,331
"(188, 268)",188,268
"(215, 416)",215,416
"(225, 225)",225,225
"(194, 259)",194,259
"(507, 338)",507,338
"(183, 275)",183,275
"(259, 194)",259,194
"(1200, 667)",1200,667
"(259, 194)",259,194
"(265, 190)",265,190
"(275, 183)",275,183
"(276, 183)",276,183
"(275, 183)",275,183
"(236, 213)",236,213
"(612, 408)",612,408
"(999, 679)",999,679
"(183, 275)",183,275
"(1024, 731)",1024,731
"(800, 559)",800,559
"(190, 265)",190,265
"(1600, 1152)",1600,1152
"(275, 183)",275,183
"(311, 162)",311,162
"(298, 169)",298,169
"(193, 262)",193,262
"(259, 194)",259,194
"(260, 280)",260,280
"(194, 259)",194,259
"(1500, 1000)",1500,1000
"(275, 183)",275,183
"(626, 358)",626,358
"(1023, 685)",1023,685
"(268, 188)",268,188
"(2000, 2500)",2000,2500
"(216, 233)",216,233
"(600, 600)",600,600
"(183, 275)",183,275
"(720, 1080)",720,1080
"(300, 168)",300,168
"(500, 500)",500,500
"(852, 611)",852,611
"(800, 533)",800,533
"(212, 238)",212,238
"(600, 600)",600,600
"(1366, 805)",1366,805
"(244, 207)",244,207
"(236, 214)",236,214
"(960, 540)",960,540
"(480, 320)",480,320
"(303, 166)",303,166
"(274, 184)",274,184
"(225, 225)",225,225
"(265, 190)",265,190
"(225, 225)",225,225
"(216, 233)",216,233
"(378, 450)",378,450
"(275, 183)",275,183
"(275, 183)",275,183
"(604, 340)",604,340
"(275, 183)",275,183
"(800, 800)",800,800
"(284, 177)",284,177
"(957, 1300)",957,1300
"(800, 1200)",800,1200
"(225, 225)",225,225
"(275, 183)",275,183
"(493, 347)",493,347
"(188, 268)",188,268
"(800, 632)",800,632
"(1999, 1341)",1999,1341
"(800, 800)",800,800
"(768, 750)",768,750
"(642, 642)",642,642
"(275, 183)",275,183
"(244, 206)",244,206
"(1000, 1527)",1000,1527
"(276, 183)",276,183
"(275, 183)",275,183
"(600, 315)",600,315
"(183, 275)",183,275
"(275, 183)",275,183
"(510, 340)",510,340
"(800, 800)",800,800
"(190, 266)",190,266
"(480, 480)",480,480
"(277, 182)",277,182
"(220, 229)",220,229
"(220, 229)",220,229
"(1000, 667)",1000,667
"(564, 940)",564,940
"(236, 314)",236,314
"(1300, 866)",1300,866
"(1866, 1244)",1866,1244
"(254, 198)",254,198
"(225, 225)",225,225
"(1920, 1280)",1920,1280
"(416, 416)",416,416
"(450, 469)",450,469
"(424, 405)",424,405
"(1000, 667)",1000,667
"(264, 191)",264,191
"(224, 225)",224,225
"(225, 225)",225,225
"(275, 183)",275,183
"(400, 275)",400,275
"(275, 183)",275,183
"(333, 519)",333,519
"(1100, 1210)",1100,1210
"(297, 170)",297,170
"(768, 511)",768,511
"(239, 211)",239,211
"(276, 183)",276,183
"(206, 245)",206,245
"(275, 183)",275,183
"(288, 175)",288,175
"(262, 193)",262,193
"(310, 163)",310,163
"(390, 280)",390,280
"(451, 280)",451,280
"(510, 340)",510,340
"(272, 185)",272,185
"(1800, 1000)",1800,1000
"(600, 451)",600,451
"(265, 190)",265,190
"(600, 403)",600,403
"(225, 225)",225,225
"(400, 400)",400,400
"(339, 254)",339,254
"(399, 280)",399,280
"(225, 225)",225,225
"(597, 612)",597,612
"(960, 640)",960,640
"(421, 280)",421,280
"(225, 225)",225,225
"(1000, 668)",1000,668
"(273, 184)",273,184
"(189, 267)",189,267
"(297, 170)",297,170
"(520, 280)",520,280
"(259, 195)",259,195
"(300, 168)",300,168
"(800, 531)",800,531
"(225, 225)",225,225
"(657, 360)",657,360
"(275, 183)",275,183
"(1400, 861)",1400,861
"(1200, 797)",1200,797
"(225, 225)",225,225
"(228, 221)",228,221
"(1200, 800)",1200,800
"(275, 183)",275,183
"(236, 306)",236,306
"(900, 600)",900,600
"(720, 1280)",720,1280
"(1024, 614)",1024,614
"(225, 225)",225,225
"(400, 600)",400,600
"(307, 280)",307,280
"(225, 225)",225,225
"(183, 275)",183,275
"(1000, 1000)",1000,1000
"(612, 612)",612,612
"(252, 200)",252,200
"(800, 533)",800,533
"(300, 168)",300,168
"(2507, 1795)",2507,1795
"(184, 275)",184,275
"(2500, 1406)",2500,1406
"(183, 275)",183,275
"(509, 339)",509,339
"(225, 225)",225,225
"(1500, 2253)",1500,2253
"(777, 900)",777,900
"(275, 183)",275,183
"(286, 176)",286,176
"(320, 480)",320,480
"(1000, 1500)",1000,1500
"(225, 225)",225,225
"(1280, 1233)",1280,1233
"(612, 544)",612,544
"(225, 225)",225,225
"(780, 336)",780,336
"(275, 183)",275,183
"(267, 189)",267,189
"(1000, 667)",1000,667
"(297, 170)",297,170
"(275, 183)",275,183
"(600, 515)",600,515
"(360, 360)",360,360
"(275, 183)",275,183
"(1500, 1500)",1500,1500
"(225, 225)",225,225
"(642, 424)",642,424
"(275, 183)",275,183
"(275, 183)",275,183
"(183, 275)",183,275
"(1920, 1743)",1920,1743
"(275, 183)",275,183
"(228, 222)",228,222
"(225, 225)",225,225
"(1024, 680)",1024,680
"(301, 167)",301,167
"(275, 183)",275,183
"(300, 168)",300,168
"(1376, 2048)",1376,2048
"(252, 200)",252,200
